RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
394304,74,"Akron, OH",Msa,OH,63.0,53.0,34.0,33.0,33.0,32.0,35.0,34.0,40.0,42.0,48.0,50.0,55.0,44.0,29.0,28.0,27.0,28.0,33.0,34.0,36.0,40.0,38.0,48.0,53.0,36.0,22.0,26.0,20.0,"",13.0,13.0,18.0,13.0,17.0,27.0,"",""
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,52.0,41.0,39.0,50.0,48.0,43.0,46.0,42.0,38.0,35.0,39.0,42.0,49.0,39.0,51.0,55.0,53.0,52.0,49.0,44.0,34.0,37.0,34.0,38.0,39.0,28.0,30.0,35.0,49.0,34.0,24.0,18.0,18.0,15.0,14.0,18.0,"",""
394798,76,"Little Rock, AR",Msa,AR,85.0,28.0,39.0,27.0,38.0,43.0,42.0,35.0,55.0,54.0,60.0,64.0,49.0,38.0,33.0,46.0,31.0,27.0,33.0,32.0,37.0,52.0,86.0,71.0,61.0,60.0,27.0,40.0,21.0,16.0,12.0,14.0,16.0,29.0,9.0,13.0,"",""
395134,77,"Stockton, CA",Msa,CA,15.0,11.0,12.0,11.0,11.0,14.0,16.0,15.0,19.0,23.0,28.0,34.0,37.0,23.0,16.0,14.0,15.0,17.0,17.0,20.0,17.0,22.0,23.0,34.0,27.0,13.0,8.0,14.0,12.0,10.0,7.0,7.0,7.0,8.0,8.0,8.0,"",""
394457,78,"Charleston, SC",Msa,SC,35.0,17.0,18.0,16.0,17.0,20.0,21.0,27.0,29.0,28.0,31.0,39.0,47.0,23.0,20.0,22.0,24.0,24.0,27.0,26.0,33.0,29.0,31.0,39.0,40.0,22.0,17.0,20.0,21.0,18.0,17.0,15.0,10.0,12.0,13.0,14.0,"",""
395143,79,"Syracuse, NY",Msa,NY,71.0,64.0,47.0,36.0,32.0,33.0,34.0,42.0,52.0,49.0,53.0,65.0,70.0,63.0,38.0,30.0,20.0,22.0,25.0,28.0,34.0,35.0,39.0,55.0,59.0,27.0,17.0,35.0,15.0,"",10.0,8.0,9.0,8.0,13.0,14.0,23.0,8.0
394484,80,"Colorado Springs, CO",Msa,CO,10.0,5.0,7.0,7.0,7.0,9.0,13.0,18.0,16.0,24.0,18.0,29.0,21.0,10.0,8.0,6.0,9.0,8.0,12.0,15.0,20.0,21.0,16.0,17.0,19.0,10.0,7.0,10.0,11.0,13.0,14.0,12.0,32.0,28.0,25.0,25.0,"",""
395235,81,"Winston-Salem, NC",Msa,NC,61.0,55.0,36.0,36.0,35.0,36.0,28.0,21.0,22.0,20.0,26.0,30.0,23.0,13.0,9.0,11.0,9.0,12.0,12.0,12.0,14.0,14.0,15.0,27.0,16.0,9.0,6.0,12.0,9.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,4.0
395224,82,"Wichita, KS",Msa,KS,49.0,34.0,19.0,21.0,18.0,15.0,21.0,25.0,22.0,24.0,25.0,38.0,40.0,34.0,17.0,14.0,16.0,13.0,13.0,15.0,16.0,24.0,18.0,26.0,26.0,19.0,9.0,10.0,8.0,7.0,6.0,6.0,7.0,9.0,8.0,15.0,33.0,6.0
395115,83,"Springfield, MA",Msa,MA,44.0,22.0,18.0,11.0,10.0,15.0,18.0,21.0,27.0,27.0,31.0,35.0,50.0,25.0,15.0,11.0,11.0,13.0,16.0,18.0,15.0,18.0,25.0,43.0,37.0,16.0,9.0,12.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,10.0,9.0,8.0
394440,84,"Fort Myers, FL",Msa,FL,47.0,41.0,41.0,53.0,52.0,50.0,49.0,47.0,48.0,44.0,44.0,49.0,58.0,50.0,57.0,60.0,60.0,62.0,68.0,57.0,54.0,45.0,41.0,49.0,56.0,44.0,44.0,45.0,57.0,43.0,43.0,26.0,27.0,20.0,20.0,23.0,26.0,13.0
394399,85,"Boise City, ID",Msa,ID,27.0,9.0,8.0,6.0,7.0,8.0,9.0,9.0,15.0,20.0,17.0,30.0,36.0,12.0,9.0,8.0,9.0,9.0,11.0,14.0,15.0,18.0,19.0,31.0,19.0,7.0,5.0,10.0,9.0,7.0,5.0,5.0,6.0,8.0,9.0,7.0,8.0,6.0
395160,86,"Toledo, OH",Msa,OH,49.0,27.0,21.0,13.0,11.0,14.0,14.0,18.0,25.0,24.0,31.0,48.0,40.0,33.0,16.0,10.0,8.0,11.0,13.0,12.0,19.0,20.0,22.0,29.0,43.0,15.0,11.0,12.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,12.0,10.0,11.0
394816,87,"Madison, WI",Msa,WI,50.0,28.0,23.0,28.0,25.0,32.0,33.0,35.0,44.0,46.0,50.0,70.0,58.0,38.0,26.0,21.0,25.0,26.0,32.0,34.0,37.0,44.0,53.0,63.0,68.0,35.0,23.0,30.0,26.0,15.0,21.0,24.0,29.0,25.0,33.0,38.0,"",""
394766,88,"Lakeland, FL",Msa,FL,26.0,23.0,20.0,19.0,20.0,19.0,20.0,22.0,19.0,21.0,21.0,39.0,34.0,24.0,31.0,24.0,27.0,25.0,22.0,23.0,22.0,32.0,26.0,30.0,34.0,23.0,17.0,20.0,17.0,20.0,15.0,10.0,9.0,10.0,10.0,14.0,12.0,8.0
394931,89,"Ogden, UT",Msa,UT,21.0,8.0,8.0,7.0,13.0,10.0,10.0,11.0,15.0,20.0,25.0,26.0,21.0,18.0,11.0,9.0,11.0,11.0,12.0,13.0,17.0,21.0,22.0,29.0,16.0,13.0,5.0,12.0,7.0,10.0,6.0,5.0,5.0,5.0,5.0,6.0,"",""
394528,90,"Daytona Beach, FL",Msa,FL,46.0,37.0,30.0,20.0,24.0,24.0,22.0,45.0,39.0,35.0,41.0,48.0,60.0,31.0,41.0,43.0,43.0,43.0,43.0,45.0,51.0,41.0,33.0,44.0,42.0,32.0,22.0,30.0,34.0,33.0,24.0,17.0,15.0,15.0,13.0,15.0,25.0,10.0
394531,91,"Des Moines, IA",Msa,IA,36.0,22.0,14.0,13.0,14.0,16.0,18.0,22.0,24.0,24.0,30.0,44.0,38.0,29.0,27.0,19.0,19.0,22.0,22.0,27.0,29.0,38.0,42.0,56.0,67.0,40.0,24.0,23.0,24.0,19.0,16.0,17.0,20.0,18.0,21.0,36.0,29.0,11.0
394711,92,"Jackson, MS",Msa,MS,53.0,33.0,38.0,32.0,28.0,30.0,25.0,33.0,36.0,37.0,48.0,59.0,60.0,33.0,23.0,24.0,22.0,26.0,28.0,35.0,26.0,34.0,37.0,43.0,47.0,26.0,23.0,24.0,18.0,23.0,17.0,14.0,18.0,9.0,11.0,18.0,"",""
394352,94,"Augusta, GA",Msa,GA,73.0,8.0,22.0,21.0,20.0,18.0,25.0,29.0,33.0,37.0,26.0,38.0,70.0,74.0,37.0,43.0,44.0,32.0,25.0,25.0,31.0,34.0,23.0,39.0,41.0,23.0,21.0,19.0,16.0,11.0,10.0,10.0,8.0,9.0,10.0,12.0,8.0,5.0
394666,96,"Harrisburg, PA",Msa,PA,50.0,43.0,14.0,10.0,16.0,14.0,13.0,22.0,24.0,22.0,26.0,33.0,30.0,19.0,13.0,10.0,12.0,12.0,14.0,14.0,13.0,17.0,19.0,21.0,26.0,15.0,8.0,20.0,11.0,7.0,6.0,6.0,21.0,6.0,6.0,9.0,8.0,5.0
395006,100,"Provo, UT",Msa,UT,33.0,11.0,12.0,9.0,15.0,11.0,13.0,16.0,21.0,22.0,23.0,20.0,25.0,15.0,14.0,13.0,15.0,19.0,17.0,15.0,26.0,21.0,33.0,33.0,17.0,11.0,5.0,13.0,11.0,13.0,6.0,6.0,6.0,5.0,5.0,8.0,"",""
394602,159,"Fort Collins, CO",Msa,CO,19.0,9.0,8.0,8.0,8.0,8.0,16.0,17.0,34.0,38.0,37.0,40.0,48.0,21.0,26.0,25.0,27.0,11.0,16.0,20.0,26.0,33.0,26.0,36.0,19.0,11.0,6.0,16.0,9.0,13.0,11.0,10.0,12.0,10.0,13.0,17.0,33.0,11.0
