date,cases,deaths,county,state
2020-01-31,0,0,boulder,colorado
2020-01-31,0,0,boundary,idaho
2020-01-31,0,0,bourbon,kansas
2020-01-31,0,0,bourbon,kentucky
2020-01-31,0,0,bowie,texas
2020-01-31,0,0,bowman,north dakota
2020-01-31,0,0,box butte,nebraska
2020-01-31,0,0,box elder,utah
2020-01-31,0,0,boyd,kentucky
2020-01-31,0,0,boyd,nebraska
2020-01-31,0,0,boyle,kentucky
2020-01-31,0,0,bracken,kentucky
2020-01-31,0,0,bradford,florida
2020-01-31,0,0,bradford,pennsylvania
2020-01-31,0,0,bradley,arkansas
2020-01-31,0,0,bradley,tennessee
2020-01-31,0,0,branch,michigan
2020-01-31,0,0,brantley,georgia
2020-01-31,0,0,braxton,west virginia
2020-01-31,0,0,brazoria,texas
2020-01-31,0,0,brazos,texas
2020-01-31,0,0,breathitt,kentucky
2020-01-31,0,0,breckinridge,kentucky
2020-01-31,0,0,bremer,iowa
2020-01-31,0,0,brevard,florida
2020-01-31,0,0,brewster,texas
2020-01-31,0,0,briscoe,texas
2020-01-31,0,0,bristol,massachusetts
2020-01-31,0,0,bristol,rhode island
2020-01-31,0,0,bristol,virginia
2020-01-31,0,0,bristol bay,alaska
2020-01-31,0,0,bristol bay plus lake and peninsula,alaska
2020-01-31,0,0,broadwater,montana
2020-01-31,0,0,bronx,new york
2020-01-31,0,0,brooke,west virginia
2020-01-31,0,0,brookings,south dakota
2020-01-31,0,0,brooks,georgia
2020-01-31,0,0,brooks,texas
2020-01-31,0,0,broome,new york
2020-01-31,0,0,broomfield,colorado
2020-01-31,0,0,broward,florida
2020-01-31,0,0,brown,illinois
2020-01-31,0,0,brown,indiana
2020-01-31,0,0,brown,kansas
2020-01-31,0,0,brown,minnesota
2020-01-31,0,0,brown,nebraska
2020-01-31,0,0,brown,ohio
2020-01-31,0,0,brown,south dakota
2020-01-31,0,0,brown,texas
2020-01-31,0,0,brown,wisconsin
2020-01-31,0,0,brule,south dakota
2020-01-31,0,0,brunswick,north carolina
2020-01-31,0,0,brunswick,virginia
2020-01-31,0,0,bryan,georgia
2020-01-31,0,0,bryan,oklahoma
2020-01-31,0,0,buchanan,iowa
2020-01-31,0,0,buchanan,missouri
2020-01-31,0,0,buchanan,virginia
2020-01-31,0,0,buckingham,virginia
2020-01-31,0,0,bucks,pennsylvania
2020-01-31,0,0,buena vista,iowa
2020-01-31,0,0,buena vista,virginia
2020-01-31,0,0,buffalo,nebraska
2020-01-31,0,0,buffalo,south dakota
2020-01-31,0,0,buffalo,wisconsin
2020-01-31,0,0,bullitt,kentucky
2020-01-31,0,0,bulloch,georgia
2020-01-31,0,0,bullock,alabama
2020-01-31,0,0,buncombe,north carolina
2020-01-31,0,0,bureau,illinois
2020-01-31,0,0,burke,georgia
2020-01-31,0,0,burke,north carolina
2020-01-31,0,0,burke,north dakota
2020-01-31,0,0,burleigh,north dakota
2020-01-31,0,0,burleson,texas
2020-01-31,0,0,burlington,new jersey
2020-01-31,0,0,burnet,texas
2020-01-31,0,0,burnett,wisconsin
2020-01-31,0,0,burt,nebraska
2020-01-31,0,0,butler,alabama
2020-01-31,0,0,butler,iowa
2020-01-31,0,0,butler,kansas
2020-01-31,0,0,butler,kentucky
2020-01-31,0,0,butler,missouri
2020-01-31,0,0,butler,nebraska
2020-01-31,0,0,butler,ohio
2020-01-31,0,0,butler,pennsylvania
2020-01-31,0,0,butte,california
2020-01-31,0,0,butte,idaho
2020-01-31,0,0,butte,south dakota
2020-01-31,0,0,butts,georgia
2020-01-31,0,0,cabarrus,north carolina
2020-01-31,0,0,cabell,west virginia
2020-01-31,0,0,cabo rojo,puerto rico
2020-01-31,0,0,cache,utah
2020-01-31,0,0,caddo,louisiana
2020-01-31,0,0,caddo,oklahoma
2020-01-31,0,0,caguas,puerto rico
2020-01-31,0,0,calaveras,california
2020-01-31,0,0,calcasieu,louisiana
2020-01-31,0,0,caldwell,kentucky
2020-01-31,0,0,caldwell,louisiana
2020-01-31,0,0,caldwell,missouri
2020-01-31,0,0,caldwell,north carolina
2020-01-31,0,0,caldwell,texas
2020-01-31,0,0,caledonia,vermont
2020-01-31,0,0,calhoun,alabama
2020-01-31,0,0,calhoun,arkansas
2020-01-31,0,0,calhoun,florida
2020-01-31,0,0,calhoun,georgia
2020-01-31,0,0,calhoun,illinois
2020-01-31,0,0,calhoun,iowa
2020-01-31,0,0,calhoun,michigan
2020-01-31,0,0,calhoun,mississippi
2020-01-31,0,0,calhoun,south carolina
2020-01-31,0,0,calhoun,texas
2020-01-31,0,0,calhoun,west virginia
2020-01-31,0,0,callahan,texas
2020-01-31,0,0,callaway,missouri
2020-01-31,0,0,calloway,kentucky
2020-01-31,0,0,calumet,wisconsin
2020-01-31,0,0,calvert,maryland
2020-01-31,0,0,camas,idaho
2020-01-31,0,0,cambria,pennsylvania
2020-01-31,0,0,camden,georgia
2020-01-31,0,0,camden,missouri
2020-01-31,0,0,camden,new jersey
2020-01-31,0,0,camden,north carolina
2020-01-31,0,0,cameron,louisiana
2020-01-31,0,0,cameron,pennsylvania
2020-01-31,0,0,cameron,texas
2020-01-31,0,0,camp,texas
2020-01-31,0,0,campbell,kentucky
2020-01-31,0,0,campbell,south dakota
2020-01-31,0,0,campbell,tennessee
2020-01-31,0,0,campbell,virginia
2020-01-31,0,0,campbell,wyoming
2020-01-31,0,0,camuy,puerto rico
2020-01-31,0,0,canadian,oklahoma
2020-01-31,0,0,candler,georgia
2020-01-31,0,0,cannon,tennessee
2020-01-31,0,0,canovanas,puerto rico
2020-01-31,0,0,canyon,idaho
2020-01-31,0,0,cape girardeau,missouri
2020-01-31,0,0,cape may,new jersey
2020-01-31,0,0,carbon,montana
2020-01-31,0,0,carbon,pennsylvania
2020-01-31,0,0,carbon,utah
2020-01-31,0,0,carbon,wyoming
2020-01-31,0,0,caribou,idaho
2020-01-31,0,0,carlisle,kentucky
2020-01-31,0,0,carlton,minnesota
2020-01-31,0,0,carolina,puerto rico
2020-01-31,0,0,caroline,maryland
2020-01-31,0,0,caroline,virginia
2020-01-31,0,0,carroll,arkansas
2020-01-31,0,0,carroll,georgia
2020-01-31,0,0,carroll,illinois
2020-01-31,0,0,carroll,indiana
2020-01-31,0,0,carroll,iowa
2020-01-31,0,0,carroll,kentucky
2020-01-31,0,0,carroll,maryland
2020-01-31,0,0,carroll,mississippi
2020-01-31,0,0,carroll,missouri
2020-01-31,0,0,carroll,new hampshire
2020-01-31,0,0,carroll,ohio
2020-01-31,0,0,carroll,tennessee
2020-01-31,0,0,carroll,virginia
2020-01-31,0,0,carson,texas
2020-01-31,0,0,carson city,nevada
2020-01-31,0,0,carter,kentucky
2020-01-31,0,0,carter,missouri
2020-01-31,0,0,carter,montana
2020-01-31,0,0,carter,oklahoma
2020-01-31,0,0,carter,tennessee
2020-01-31,0,0,carteret,north carolina
2020-01-31,0,0,carver,minnesota
2020-01-31,0,0,cascade,montana
2020-01-31,0,0,casey,kentucky
2020-01-31,0,0,cass,illinois
2020-01-31,0,0,cass,indiana
2020-01-31,0,0,cass,iowa
2020-01-31,0,0,cass,michigan
2020-01-31,0,0,cass,minnesota
2020-01-31,0,0,cass,missouri
2020-01-31,0,0,cass,nebraska
2020-01-31,0,0,cass,north dakota
2020-01-31,0,0,cass,texas
2020-01-31,0,0,cassia,idaho
2020-01-31,0,0,castro,texas
2020-01-31,0,0,caswell,north carolina
2020-01-31,0,0,catahoula,louisiana
2020-01-31,0,0,catano,puerto rico
2020-01-31,0,0,catawba,north carolina
2020-01-31,0,0,catoosa,georgia
2020-01-31,0,0,catron,new mexico
2020-01-31,0,0,cattaraugus,new york
2020-01-31,0,0,cavalier,north dakota
2020-01-31,0,0,cayey,puerto rico
2020-01-31,0,0,cayuga,new york
2020-01-31,0,0,cecil,maryland
2020-01-31,0,0,cedar,iowa
2020-01-31,0,0,cedar,missouri
2020-01-31,0,0,cedar,nebraska
2020-01-31,0,0,ceiba,puerto rico
2020-01-31,0,0,central utah,utah
2020-01-31,0,0,centre,pennsylvania
2020-01-31,0,0,cerro gordo,iowa
2020-01-31,0,0,chaffee,colorado
2020-01-31,0,0,chambers,alabama
2020-01-31,0,0,chambers,texas
2020-01-31,0,0,champaign,illinois
2020-01-31,0,0,champaign,ohio
2020-01-31,0,0,chariton,missouri
2020-01-31,0,0,charles,maryland
2020-01-31,0,0,charles city,virginia
2020-01-31,0,0,charles mix,south dakota
2020-01-31,0,0,charleston,south carolina
2020-01-31,0,0,charlevoix,michigan
2020-01-31,0,0,charlotte,florida
2020-01-31,0,0,charlotte,virginia
2020-01-31,0,0,charlottesville,virginia
2020-01-31,0,0,charlton,georgia
2020-01-31,0,0,chase,kansas
2020-01-31,0,0,chase,nebraska
2020-01-31,0,0,chatham,georgia
2020-01-31,0,0,chatham,north carolina
2020-01-31,0,0,chattahoochee,georgia
2020-01-31,0,0,chattooga,georgia
2020-01-31,0,0,chautauqua,kansas
2020-01-31,0,0,chautauqua,new york
2020-01-31,0,0,chaves,new mexico
2020-01-31,0,0,cheatham,tennessee
2020-01-31,0,0,cheboygan,michigan
2020-01-31,0,0,chelan,washington
2020-01-31,0,0,chemung,new york
2020-01-31,0,0,chenango,new york
2020-01-31,0,0,cherokee,alabama
2020-01-31,0,0,cherokee,georgia
2020-01-31,0,0,cherokee,iowa
2020-01-31,0,0,cherokee,kansas
2020-01-31,0,0,cherokee,north carolina
2020-01-31,0,0,cherokee,oklahoma
2020-01-31,0,0,cherokee,south carolina
2020-01-31,0,0,cherokee,texas
2020-01-31,0,0,cherry,nebraska
2020-01-31,0,0,chesapeake,virginia
2020-01-31,0,0,cheshire,new hampshire
2020-01-31,0,0,chester,pennsylvania
2020-01-31,0,0,chester,south carolina
2020-01-31,0,0,chester,tennessee
2020-01-31,0,0,chesterfield,south carolina
2020-01-31,0,0,chesterfield,virginia
2020-01-31,0,0,cheyenne,colorado
2020-01-31,0,0,cheyenne,kansas
2020-01-31,0,0,cheyenne,nebraska
2020-01-31,0,0,chickasaw,iowa
2020-01-31,0,0,chickasaw,mississippi
2020-01-31,0,0,chicot,arkansas
2020-01-31,0,0,childress,texas
2020-01-31,0,0,chilton,alabama
2020-01-31,0,0,chippewa,michigan
2020-01-31,0,0,chippewa,minnesota
2020-01-31,0,0,chippewa,wisconsin
2020-01-31,0,0,chisago,minnesota
2020-01-31,0,0,chittenden,vermont
2020-01-31,0,0,choctaw,alabama
2020-01-31,0,0,choctaw,mississippi
2020-01-31,0,0,choctaw,oklahoma
2020-01-31,0,0,chouteau,montana
2020-01-31,0,0,chowan,north carolina
2020-01-31,0,0,christian,illinois
2020-01-31,0,0,christian,kentucky
2020-01-31,0,0,christian,missouri
2020-01-31,0,0,chugach,alaska
2020-01-31,0,0,churchill,nevada
2020-01-31,0,0,ciales,puerto rico
2020-01-31,0,0,cibola,new mexico
2020-01-31,0,0,cidra,puerto rico
2020-01-31,0,0,cimarron,oklahoma
2020-01-31,0,0,citrus,florida
2020-01-31,0,0,clackamas,oregon
2020-01-31,0,0,claiborne,louisiana
2020-01-31,0,0,claiborne,mississippi
2020-01-31,0,0,claiborne,tennessee
2020-01-31,0,0,clallam,washington
2020-01-31,0,0,clare,michigan
2020-01-31,0,0,clarendon,south carolina
2020-01-31,0,0,clarion,pennsylvania
2020-01-31,0,0,clark,arkansas
2020-01-31,0,0,clark,idaho
2020-01-31,0,0,clark,illinois
2020-01-31,0,0,clark,indiana
2020-01-31,0,0,clark,kansas
2020-01-31,0,0,clark,kentucky
2020-01-31,0,0,clark,missouri
2020-01-31,0,0,clark,nevada
2020-01-31,0,0,clark,ohio
2020-01-31,0,0,clark,south dakota
2020-01-31,0,0,clark,washington
