"","date","Division","Division_num","POP_ESTIMATE_2019_log","Median_Household_Income_2019_log","median_listing_price_log","total_listing_count_log","deaths_per_1000_log","county_land_area_log","median_listing_price_clas"
"3476",2020-04-30,"East North Central",1,11.1249514911861,11.3402017016479,12.9408474959668,5.85220247977447,-1.22146393865002,6.04810477115523,3
"3477",2020-05-31,"East North Central",1,11.1249514911861,11.3402017016479,12.9713079024844,5.91889385427315,-0.661848150714596,6.04810477115523,3
"3478",2020-06-30,"East North Central",1,11.1249514911861,11.3402017016479,13.0168917444621,6.0137151560428,-0.479526593920641,6.04810477115523,3
"3479",2020-07-31,"East North Central",1,11.1249514911861,11.3402017016479,13.0168917444621,5.99146454710798,-0.305173206775864,6.04810477115523,3
"3480",2020-08-31,"East North Central",1,11.1249514911861,11.3402017016479,13.09704556942,5.90808293816893,-0.285370579479685,6.04810477115523,3
"3481",2020-09-30,"East North Central",1,11.1249514911861,11.3402017016479,13.0710700830168,5.83773044716594,-0.285370579479685,6.04810477115523,3
"3482",2020-10-31,"East North Central",1,11.1249514911861,11.3402017016479,13.0604879736862,5.79909265446053,-0.20986302697154,6.04810477115523,3
"3483",2020-11-30,"East North Central",1,11.1249514911861,11.3402017016479,13.0432119390989,5.63478960316925,-0.122851649981909,6.04810477115523,3
"3484",2020-12-31,"East North Central",1,11.1249514911861,11.3402017016479,12.9876884740777,5.39816270151775,0.0312990298453493,6.04810477115523,3
"3485",2021-01-31,"East North Central",1,11.1249514911861,11.3402017016479,12.9881574716327,5.27299955856375,0.189523035060242,6.04810477115523,3
"3486",2021-02-28,"East North Central",1,11.1249514911861,11.3402017016479,12.9419200556221,5.32300997913841,0.260140602274199,6.04810477115523,3
"3487",2020-01-31,"East North Central",1,11.6809959559943,10.9927395029379,12.3983445331773,6.09356977004514,0,5.93020065850407,3
"3488",2020-02-29,"East North Central",1,11.6809959559943,10.9927395029379,12.428816116823,5.98393628068719,0,5.93020065850407,3
"3489",2020-03-31,"East North Central",1,11.6809959559943,10.9927395029379,12.4507819747589,5.88887795833288,0,5.93020065850407,3
"3490",2020-04-30,"East North Central",1,11.6809959559943,10.9927395029379,12.4507819747589,5.94542060860658,-2.13418334739693,5.93020065850407,3
"3491",2020-05-31,"East North Central",1,11.6809959559943,10.9927395029379,12.4525420221479,5.88887795833288,-1.05966861030788,5.93020065850407,3
