"","date","Division","POP_ESTIMATE_2019_log","Median_Household_Income_2019_log","median_listing_price_log","total_listing_count_log","cases_per_1000_log","deaths_per_1000_log","county_land_area_log","median_listing_price_clas"
"7681",2020-09-30,"Pacific",11.4409245022815,11.1440044140427,13.0700168970321,5.56068163101553,1.25984438508482,-2.74140975407127,6.52063585499075,3
"9051",2020-07-31,"West South Central",12.8327167097318,11.3350420450609,12.5423645087422,7.79564653633459,2.83658870837994,-1.72026881135874,7.37622022506185,3
"423",2020-03-31,"Mountain",11.7434179466255,10.7924070876142,12.2416810729975,6.63200177739563,-3.44936830652345,0,8.735415854998,3
"1479",2020-09-30,"Mountain",13.2757383278599,11.4041814539645,13.2311280921957,7.80425138352811,2.30535882502839,-0.838553961366355,6.65698356055045,1
"2025",2020-09-30,"South Atlantic",14.8150168049847,10.9149248144611,13.1016217493849,10.1027891293648,4.13864236737482,0.188337175375656,7.79547779781922,3
"520",2020-02-29,"Mountain",13.0450265056527,11.0359697257119,12.502094842257,7.87891291229713,0,0,8.58941896477319,3
"4114",2020-12-31,"West North Central",11.214950603033,10.8589220715279,12.1881632249866,5.69035945432406,4.19325854336106,-1.31146305049689,6.43318122122164,3
"4411",2020-01-31,"East South Central",11.1094433893528,11.5243796150153,12.8713346226006,5.41164605185504,0,0,5.28096772821292,3
"6655",2020-05-31,"Mountain",14.6338422047803,11.0370003382123,12.7065448572167,9.1122864315008,1.07733728580255,-1.88835647863222,8.99851379149459,3
"2118",2020-04-30,"South Atlantic",13.2248242932829,10.9285429992017,12.3929670641693,8.20166019080868,-0.799616117836078,-4.37115886524547,6.76621475586955,3
"7573",2021-01-31,"West South Central",13.5891543515958,10.9379523547138,12.7109003174925,7.82364593083495,4.54507023483063,-0.323556806105526,6.57699867695681,3
"6721",2020-01-31,"Mountain",10.931605843591,10.9703683470427,12.7938593104323,5.06259503302697,0,0,5.04889400621335,3
"1677",2020-11-30,"South Atlantic",12.1050692903138,10.9819651587839,12.6456170672912,6.75809450442773,3.34026986973235,-0.29203923289319,6.68478671235721,3
"262",2020-10-31,"East South Central",12.93171121729,10.8095663193339,12.2968270087986,6.88755257166462,3.73230689447169,-0.255634942514139,7.40497273014123,3
"6410",2020-12-31,"West North Central",10.9855130375998,11.1444381719836,12.4026668616108,5.25749537202778,4.09299366513983,-1.08202548506371,6.46215544013385,3
"10698",2020-02-29,"East North Central",13.2116463390575,11.2622565425913,12.8607388392718,7.41276401742656,0,0,7.12159972734825,3
"4772",2020-12-31,"New England",11.7142486747713,10.9215764624713,12.6014874177848,5.89715386763674,2.69569309081375,-1.4391975658027,6.85776639663707,3
"10891",2021-01-31,"East North Central",11.3988717168687,11.4125082665178,13.2868179323699,5.30826769740121,4.52089493914983,-0.134407611196986,7.01777492402069,1
"10558",2020-02-29,"Pacific",13.1669504351702,11.0016997611829,12.8733890660556,7.41577697541539,0,0,7.48482921136567,3
"5020",2020-08-31,"South Atlantic",11.5483794776212,10.9032182916441,12.2643415536542,5.41610040220442,2.7150169043352,-0.790476596928993,5.99098943425975,3
"4796",2020-08-31,"New England",12.2435659059573,11.1095032686959,12.9668784745639,6.85646198459459,1.39042277538358,-2.62776042587296,7.14790539538856,3
"8815",2020-09-30,"East South Central",11.2928397337553,10.8012680216512,12.5928644883727,5.78382518232974,3.74143371400759,-0.600894820854858,5.99754601742385,3
"9875",2020-05-31,"Mountain",12.0870413310979,11.0726825593261,13.0170028617465,7.50549227473742,0,0,7.79567534250405,3
"5787",2020-05-31,"West North Central",12.969261147761,11.397233990474,12.8346813049525,7.42297125104942,1.1291701655533,-2.05417268354644,6.37393393542183,3
"6680",2020-02-29,"Mountain",10.873849716198,11.330047753551,12.6313403809345,5.82600010738045,0,0,9.75289951894161,3
"7449",2020-01-31,"West South Central",10.7925509621558,10.7264341706309,12.0668077046293,5.42053499927229,0,0,6.6547322490152,3
"2689",2020-01-31,"South Atlantic",10.7694529424582,10.6458533768836,11.8947807074393,5.70711026474888,0,0,6.70754669895042,3
"4945",2020-03-31,"South Atlantic",13.8649557456542,11.6083447297337,13.2788541741638,7.57609734062311,-0.996195127048779,-6.95720046667205,6.22697135740559,1
"1209",2020-05-31,"Pacific",12.1011564755806,11.0262069165475,12.8397617111399,6.42971947803914,-1.52983955046883,-3.80710683547859,8.25520745529785,3
"3643",2020-03-31,"East North Central",11.9714067158433,11.2175740582135,12.5981147333062,6.37842618365159,-0.448530920019952,-3.9650391481931,5.77324634631627,3
"10685",2020-03-31,"East North Central",10.9600965937238,11.1450306703933,12.5945611294312,5.32300997913841,-1.41328398512638,0,6.67932276573432,3
