RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28
394935,42,"Oklahoma City, OK",Msa,OK,235790.0,236306.0,237234.0,242394.0,250742.0,252816.0,255907.0,252816.0,252816.0,247553.0,247553.0,247553.0,247657.0,247553.0,254777.0,262103.0,273351.0,279646.0,281699.0,277582.0,273454.0,268192.0,268192.0,268295.0,268295.0,268192.0,273454.0,279997.0,284124.0,283773.0,294092.0,305397.0,301151.0,298220.0,294092.0,297704.0,296259.0,294092.0,295840.0,307932.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,230000.0,229000.0,235444.0,254900.0,269519.0,274900.0,279000.0,275900.0,269000.0,269000.0,265000.0,260300.0,256900.0,250000.0,253200.0,265000.0,275900.0,289500.0,293000.0,289900.0,285000.0,278900.0,269900.0,259900.0,249990.0,246000.0,249000.0,262000.0,279900.0,289800.0,299500.0,299500.0,299000.0,290000.0,274900.0,268990.0,250000.0,250000.0,255000.0,269900.0
394669,44,"Hartford, CT",Msa,CT,266000.0,265000.0,270000.0,279000.0,289900.0,289900.0,289900.0,289900.0,289900.0,289000.0,284900.0,284900.0,279900.0,279900.0,279900.0,285000.0,290000.0,299900.0,299900.0,309000.0,299900.0,299000.0,297000.0,290000.0,289900.0,289000.0,285000.0,289900.0,308000.0,309900.0,324900.0,334900.0,343500.0,339900.0,330000.0,329900.0,325000.0,324900.0,329900.0,339900.0
395022,45,"Richmond, VA",Msa,VA,302203.0,294320.0,292444.0,305271.0,317082.0,327344.0,328319.0,326316.0,327857.0,320456.0,312977.0,307847.0,307795.0,307744.0,307744.0,312977.0,333501.0,343711.0,348790.0,347867.0,345814.0,334424.0,328370.0,323239.0,323136.0,328036.0,331397.0,338529.0,348842.0,358128.0,368339.0,379575.0,379626.0,379626.0,377400.0,379900.0,379990.0,384610.0,388950.0,390590.0
394910,46,"New Orleans, LA",Msa,LA,249999.0,247900.0,240000.0,240000.0,249900.0,259000.0,263900.0,265000.0,264000.0,259900.0,258000.0,255000.0,250000.0,250000.0,250000.0,257000.0,264900.0,269900.0,274900.0,273160.0,269900.0,269000.0,269000.0,268000.0,267000.0,264900.0,260000.0,264500.0,270000.0,275000.0,284400.0,289000.0,294000.0,299900.0,299500.0,299500.0,299000.0,299000.0,295000.0,298000.0
394425,47,"Buffalo, NY",Msa,NY,187284.0,182037.0,181930.0,192638.0,203346.0,208807.0,214160.0,214054.0,214054.0,212020.0,212020.0,203346.0,198099.0,192744.0,193709.0,202382.0,208272.0,214054.0,224762.0,224762.0,224869.0,214054.0,213947.0,213090.0,203346.0,203346.0,203346.0,208700.0,214161.0,230116.0,240931.0,255387.0,246285.0,235577.0,235405.0,224869.0,214161.0,214161.0,215000.0,239000.0
395012,48,"Raleigh, NC",Msa,NC,346164.0,345202.0,341451.0,351069.0,365401.0,370306.0,370306.0,365401.0,364535.0,360592.0,354917.0,345298.0,344337.0,341451.0,340970.0,346260.0,360688.0,370306.0,375019.0,370306.0,361553.0,360592.0,360592.0,355782.0,348893.0,346164.0,346164.0,355782.0,364977.0,357802.0,372711.0,379924.0,384637.0,391466.0,394256.0,395900.0,392000.0,395990.0,395000.0,402720.0
394388,49,"Birmingham, AL",Msa,AL,209900.0,205000.0,204250.0,212000.0,229900.0,239000.0,239900.0,239900.0,239900.0,239900.0,235000.0,229000.0,229000.0,229900.0,229900.0,239900.0,249900.0,259900.0,265225.0,269900.0,275020.0,270000.0,272463.0,274500.0,269900.0,265000.0,264900.0,268000.0,269900.0,269900.0,279900.0,284900.0,282000.0,279500.0,270000.0,274133.0,274900.0,279000.0,279050.0,282900.0
395053,50,"Salt Lake City, UT",Msa,UT,413242.0,414208.0,428380.0,429033.0,438638.0,446107.0,450819.0,450872.0,450926.0,444377.0,435895.0,428917.0,428380.0,428917.0,429346.0,439116.0,450819.0,466923.0,472398.0,471862.0,461555.0,456294.0,456187.0,455221.0,457831.0,467031.0,477230.0,493764.0,493764.0,472291.0,483028.0,499240.0,504500.0,499132.0,493871.0,497092.0,514592.0,536280.0,"",""
395031,51,"Rochester, NY",Msa,NY,183958.0,183958.0,189480.0,205613.0,214924.0,226293.0,232789.0,227267.0,215466.0,211134.0,205613.0,202364.0,200199.0,205613.0,216440.0,235496.0,245782.0,258358.0,254336.0,254336.0,249031.0,242534.0,227267.0,216440.0,215466.0,205721.0,216548.0,243509.0,258775.0,270577.0,270577.0,270577.0,275991.0,270144.0,248922.0,247948.0,248922.0,267150.0,269900.0,287900.0
